# dido_tower_sec_f,,,,,,,,,,,,,,,
-1,,dido_tower_sec_f,0,"(0.0000, 4.5700, 25.0000)",center,barbette,10,,,,"ignore_parent,ignore_expand,ignore_collision_check",-135,135,,1
1,,dido_tower_sec_f,90,"(7.6536, 11.0762, -12.1651)",side,barbette,,5,,,"ignore_parent,ignore_expand,ignore_collision_check",-85,70,,1
2,,dido_tower_sec_f,270,"(-7.6536, 11.0762, -12.1651)",side,barbette,,5,,,"ignore_parent,ignore_expand,ignore_collision_check",-70,85,,1
3,,dido_tower_sec_f,90,"(7.6536, 8.0000, -6.0397)",side,barbette,,5,,,"ignore_parent,ignore_expand,ignore_collision_check",-85,70,,1
4,,dido_tower_sec_f,270,"(-7.6536, 8.0000, -6.0397)",side,barbette,,5,,,"ignore_parent,ignore_expand,ignore_collision_check",-70,85,,1
5,,dido_tower_sec_f,60,"(5.8300, 14.5000, 3.3569)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-70,120,,1
6,,dido_tower_sec_f,300,"(-5.8300, 14.5000, 3.3569)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-120,70,,1
7,,dido_tower_sec_f,290,"(-6.8054, 4.0000, 5.0000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-85,75,,1
8,,dido_tower_sec_f,70,"(6.8054, 4.0000, 5.0000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-85,75,,1
9,,dido_tower_sec_f,60,"(7.5053, 0.5000, 25.2000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-70,70,,1
10,,dido_tower_sec_f,300,"(-7.5053, 0.5000, 25.2000)",side,barbette,,3,,,"ignore_parent,ignore_expand,ignore_collision_check",-70,70,,1
-1,,dido_tower_sec_f,0,"(0.0000, 8.1000, -10.0000)",,funnel,,,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,
-1,,dido_tower_sec_f,0,"(0.0000, 8.1000, -11.0000)",,funnel,,,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,
-1,,dido_tower_sec_f,0,"(0.0000, 8.1000, -12.0000)",,funnel,,,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,
-1,,dido_tower_sec_f,0,"(0.0000, 0.0010, -20.0000)",,funnel,,,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,
-1,,dido_tower_sec_f,0,"(0.0000, 0.0010, -21.0000)",,funnel,,,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,
-1,,dido_tower_sec_f,0,"(0.0000, 0.0010, -22.0000)",,funnel,,,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,
-1,,dido_tower_sec_f,0,"(0.0000, 0.1010, -23.0000)",,funnel,,,,,"ignore_parent,ignore_expand,ignore_collision_check",,,,
